name	pocet	procent	iczuj	kandidatu
josefik	4	0.26666666666666666	529893.tsv	15
hulan	4	0.12121212121212122	529991.tsv	33
krpec	4	0.08888888888888889	598321.tsv	45
husek	4	0.1111111111111111	594369.tsv	36
ferb	4	0.0547945205479452	584762.tsv	73
vavreck	4	0.05333333333333334	509736.tsv	75
zahel	4	0.06349206349206349	510289.tsv	63
taut	4	0.2222222222222222	530336.tsv	18
skvor	4	0.2857142857142857	530352.tsv	14
kovarik	4	0.06666666666666667	584568.tsv	60
stefk	4	0.07272727272727272	593788.tsv	55
sevcik	4	0.16	593630.tsv	25
hajek	4	0.12903225806451613	599638.tsv	31
lojin	4	0.05555555555555555	541206.tsv	72
vecer	4	0.06666666666666667	584215.tsv	60
chrast	4	0.2222222222222222	584011.tsv	18
petlak	4	0.05263157894736842	583995.tsv	76
hol	4	0.08888888888888889	583511.tsv	45
prochazk	4	0.08888888888888889	582972.tsv	45
sykor	4	0.06896551724137931	541508.tsv	58
weisz	4	0.06666666666666667	510343.tsv	60
hanak	4	0.07272727272727272	582751.tsv	55
thomas	4	0.08888888888888889	510432.tsv	45
halfar	4	0.05333333333333334	510483.tsv	75
klims	4	0.0547945205479452	598178.tsv	73
zouhar	4	0.23529411764705882	582484.tsv	17
skvaril	4	0.2857142857142857	582450.tsv	14
vicjan	4	0.13333333333333333	541729.tsv	30
dockal	4	0.4	530646.tsv	10
razim	4	0.13793103448275862	541761.tsv	29
zouhar	4	0.18181818181818182	582328.tsv	22
krocil	4	0.23529411764705882	592838.tsv	17
foltyn	4	0.05333333333333334	592692.tsv	75
voln	4	0.05333333333333334	598135.tsv	75
mis	4	0.057971014492753624	592510.tsv	69
zouhar	4	0.1111111111111111	581950.tsv	36
doskocil	4	0.19047619047619047	581810.tsv	21
barton	4	0.10256410256410256	500259.tsv	39
stefel	4	0.0784313725490196	597988.tsv	51
bacovsk	4	0.0975609756097561	581801.tsv	41
fojt	4	0.08888888888888889	542725.tsv	45
frycak	4	0.05333333333333334	500852.tsv	75
janc	4	0.1111111111111111	592285.tsv	36
kocian	4	0.14285714285714285	597571.tsv	28
pitrun	4	0.09302325581395349	542989.tsv	43
kunc	4	0.10256410256410256	581763.tsv	39
vlach	4	0.08888888888888889	581666.tsv	45
schnaubelt	4	0.11764705882352941	597201.tsv	34
reznicek	4	0.14814814814814814	544264.tsv	27
vich	4	0.08888888888888889	506451.tsv	45
